GTPL $1,867322034589813,A,190518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,867322034535813,A,290518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,867345034535813,A,390518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,867322078535813,A,490518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,867204534535813,A,590518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,867322037835813,A,690518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,887322034535813,A,790518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,967322034535813,A,890518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,167322034535813,A,990518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,267322034535813,A,100518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,367322034535813,A,110518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,467322034535813,A,120518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,567322034535813,A,130518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,667322034535813,A,140518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,767322034535813,A,150518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,867324234535813,A,160518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
GTPL $1,967322034535813,A,170518,062804,18.709738,N,80.068397,E,0,406,309,11,0,14,1,0,26.4470#
